국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
파키스탄,1230.0,1236.0,-0.5,0.1,51
오스트리아,1104.0,974.0,13.3,0.1,52
덴마크,1058.0,1039.0,1.8,0.1,53
체코,1042.0,817.0,27.5,0.1,54
키르기스스탄,954.0,838.0,13.8,0.1,55
그리스,939.0,768.0,22.3,0.1,56
칠레,787.0,457.0,72.2,0.0,57
에티오피아,787.0,843.0,-6.6,0.0,57
아르헨티나,760.0,482.0,57.7,0.0,59
헝가리,703.0,677.0,3.8,0.0,60
페루,697.0,522.0,33.5,0.0,61
아랍에미리트,627.0,746.0,-16.0,0.0,62
이집트,616.0,566.0,8.8,0.0,63
브루나이,551.0,380.0,45.0,0.0,64
리투아니아,550.0,352.0,56.2,0.0,65
타지키스탄,532.0,434.0,22.6,0.0,66
크로아티아,519.0,441.0,17.7,0.0,67
케냐,456.0,520.0,-12.3,0.0,68
불가리아,451.0,463.0,-2.6,0.0,69
쿠웨이트,439.0,522.0,-15.9,0.0,70
모로코,423.0,349.0,21.2,0.0,71
슬로바키아,369.0,387.0,-4.7,0.0,72
에콰도르,315.0,185.0,70.3,0.0,73
우르과이,285.0,64.0,345.3,0.0,74
짐바브웨,284.0,220.0,29.1,0.0,75
세르비아,256.0,230.0,11.3,0.0,76
요르단,254.0,187.0,35.8,0.0,77
오만,251.0,196.0,28.1,0.0,78
에스토니아,237.0,175.0,35.4,0.0,79
라트비아,228.0,215.0,6.0,0.0,80
튀니지,222.0,214.0,3.7,0.0,81
벨라루스,218.0,140.0,55.7,0.0,82
베네수엘라,210.0,138.0,52.2,0.0,83
과테말라,203.0,181.0,12.2,0.0,84
탄자니아,199.0,169.0,17.8,0.0,85
시리아,198.0,182.0,8.8,0.0,86
몬테네그로,183.0,129.0,41.9,0.0,87
도미니카 공화국,182.0,143.0,27.3,0.0,88
마다가스카르,180.0,161.0,11.8,0.0,89
모리셔스,179.0,141.0,27.0,0.0,90
이란,178.0,328.0,-45.7,0.0,91
가나,172.0,211.0,-18.5,0.0,92
이라크,170.0,193.0,-11.9,0.0,93
조지아,166.0,150.0,10.7,0.0,94
그루지아,166.0,150.0,10.7,0.0,94
파라과이,164.0,85.0,92.9,0.0,96
카타르,163.0,277.0,-41.2,0.0,97
리비아,161.0,129.0,24.8,0.0,98
슬로베니아,159.0,161.0,-1.2,0.0,99
온두라스,153.0,133.0,15.0,0.0,100
코스타리카,151.0,102.0,48.0,0.0,101
나이지리아,135.0,167.0,-19.2,0.0,102
동티모로,124.0,102.0,21.6,0.0,103
파나마,122.0,102.0,19.6,0.0,104
아제르바이잔,119.0,149.0,-20.1,0.0,105
알제리,119.0,108.0,10.2,0.0,105
키프로스,114.0,82.0,39.0,0.0,107
엘살바도르,106.0,83.0,27.7,0.0,108
자메이카,103.0,121.0,-14.9,0.0,109
바레인,98.0,59.0,66.1,0.0,110
투르크메니스탄,98.0,79.0,24.1,0.0,110
아이슬란드,93.0,84.0,10.7,0.0,112
레바논,92.0,99.0,-7.1,0.0,113
예멘,89.0,60.0,48.3,0.0,114
룩셈부르크,89.0,73.0,21.9,0.0,114
트리니다드ㆍ토바고,77.0,45.0,71.1,0.0,116
피지,74.0,77.0,-3.9,0.0,117
아시아 기타,69.0,96.0,-28.1,0.0,118
도미니카연방,68.0,33.0,106.1,0.0,119
세인트 킷츠 네비스,62.0,64.0,-3.1,0.0,120
몰도바,59.0,28.0,110.7,0.0,121
우간다,59.0,125.0,-52.8,0.0,121
알바니아,56.0,68.0,-17.6,0.0,123
몰타,56.0,40.0,40.0,0.0,123
니카라과,55.0,34.0,61.8,0.0,125
콩고민주공화국,52.0,39.0,33.3,0.0,126
카메룬,48.0,53.0,-9.4,0.0,127
미크로네시아,47.0,42.0,11.9,0.0,128
세인트 루치아,41.0,25.0,64.0,0.0,129
세네갈,40.0,40.0,0.0,0.0,130
몰디브,39.0,9.0,333.3,0.0,131
감비아,39.0,26.0,50.0,0.0,131
볼리비아,38.0,55.0,-30.9,0.0,133
코트디부아르,38.0,73.0,-47.9,0.0,133
쿠바,37.0,69.0,-46.4,0.0,135
유고슬라비아,37.0,36.0,2.8,0.0,135
그레나다,36.0,44.0,-18.2,0.0,137
보스니아ㆍ헤르체고비나,35.0,15.0,133.3,0.0,138
르완다,33.0,64.0,-48.4,0.0,139
부탄,32.0,51.0,-37.3,0.0,140
수단,32.0,33.0,-3.0,0.0,140
아프가니스탄,30.0,22.0,36.4,0.0,142
파푸아뉴기니,29.0,24.0,20.8,0.0,143
마케도니아,29.0,7.0,314.3,0.0,143
아르메니아,28.0,22.0,27.3,0.0,145
바하마,25.0,4.0,525.0,0.0,146
국적미상,23.0,16.0,43.8,0.0,147
기니,23.0,8.0,187.5,0.0,147
앤티가 바부다,22.0,15.0,46.7,0.0,149
가이아나,22.0,31.0,-29.0,0.0,149
보츠와나,20.0,34.0,-41.2,0.0,151
잠비아,19.0,26.0,-26.9,0.0,152
바누아투,17.0,9.0,88.9,0.0,153
가봉,17.0,16.0,6.2,0.0,153
토고,17.0,38.0,-55.3,0.0,153
모잠비크,16.0,66.0,-75.8,0.0,156
말리,15.0,11.0,36.4,0.0,157
나미비아,15.0,22.0,-31.8,0.0,157
팔레스타인,14.0,8.0,75.0,0.0,159
서사모아,14.0,23.0,-39.1,0.0,159
부룬디,13.0,19.0,-31.6,0.0,161
마샬군도,12.0,10.0,20.0,0.0,162
키리바시,11.0,19.0,-42.1,0.0,163
팔라우,11.0,9.0,22.2,0.0,163
통가,11.0,8.0,37.5,0.0,163
에스와티니,10.0,98.0,-89.8,0.0,166
벨리즈,8.0,10.0,-20.0,0.0,167
세인트 빈센트 그레나딘,8.0,17.0,-52.9,0.0,167
코소보,8.0,11.0,-27.3,0.0,167
앙골라,8.0,22.0,-63.6,0.0,167
베냉,8.0,5.0,60.0,0.0,167
말라위,8.0,47.0,-83.0,0.0,167
아이티,7.0,12.0,-41.7,0.0,173
세이셸,7.0,19.0,-63.2,0.0,173
리히텐슈타인,6.0,7.0,-14.3,0.0,175
니제르,6.0,1.0,500.0,0.0,175
남수단공화국,6.0,7.0,-14.3,0.0,175
부르키나 파소,6.0,11.0,-45.5,0.0,175
수리남,5.0,7.0,-28.6,0.0,179
나우루,5.0,8.0,-37.5,0.0,179
카보베르데,5.0,7.0,-28.6,0.0,179
모리타니,5.0,18.0,-72.2,0.0,179
영국교포,5.0,2.0,150.0,0.0,179
바베이도스,4.0,13.0,-69.2,0.0,184
솔로몬군도,4.0,8.0,-50.0,0.0,184
코모로,4.0,9.0,-55.6,0.0,184
라이베리아,4.0,21.0,-81.0,0.0,184
시에라리온,4.0,4.0,0.0,0.0,184
콩고,3.0,15.0,-80.0,0.0,189
적도 기니,3.0,33.0,-90.9,0.0,189
기니비사우,3.0,6.0,-50.0,0.0,189
소말리아,3.0,6.0,-50.0,0.0,189
안도라,2.0,17.0,-88.2,0.0,193
모나코,2.0,0.0,,0.0,193
산마리노,2.0,0.0,,0.0,193
투발루,2.0,9.0,-77.8,0.0,193
차드,2.0,6.0,-66.7,0.0,193
지부티,2.0,12.0,-83.3,0.0,193
에리트레아,2.0,7.0,-71.4,0.0,193
레소토,1.0,28.0,-96.4,0.0,200
중앙아프리카공화국,0.0,9.0,-100.0,0.0,201
상투메 프린시페,0.0,3.0,-100.0,0.0,201
