국가,방한 외래관광객,전년동기 관광객,전년대비 증감률,구성비,순위
코모로,5.0,0.0,,0.0,190
코소보,4.0,7.0,-42.9,0.0,191
카보베르데,4.0,5.0,-20.0,0.0,191
적도 기니,4.0,6.0,-33.3,0.0,191
투발루,3.0,4.0,-25.0,0.0,194
차드,3.0,0.0,,0.0,194
에리트레아,3.0,0.0,,0.0,194
니제르,3.0,2.0,50.0,0.0,194
소말리아,2.0,4.0,-50.0,0.0,198
나우루,0.0,13.0,-100.0,0.0,199
지부티,0.0,0.0,,,199
기니비사우,0.0,0.0,,,199
상투메 프린시페,0.0,0.0,,,199
