시설명,객실수,위치/주소,유형,체인여부,구역,방문우선순위,담당자명,담당자직함,연락처(전화),연락처(이메일),선컨택일,선컨택결과(1/2/3),방문일,방문반응(Go/Pivot/No),비치여부,비치위치,메모,slug
수 게스트하우스,,중구 명동 중심,게스트하우스,독립,A,1,,,,,,,,,,,,gh
우후스테이 명동,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,stay_myeongdong
로드하우스 명동 게스트하우스,,중구 명동성당 인근,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong_gh
스텝인 명동 게스트하우스,,중구 명동역 1분,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong_gh
명동 게스트하우스 꼬모,,중구 명동역 1번출구,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong_gh
명동 선샤인 게스트하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong_gh
DH 명동 게스트하우스,,중구 명동,게스트하우스,독립,A,1,,,,,,,,,,,,dh_myeongdong_gh
아트레블 명동,,중구 명동성당 도보 7분,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong
arr.dep,,중구 명동 인근,게스트하우스,독립,A,1,,,,,,,,,,,,arr_dep
명동 미스코리아 게스트하우스,,중구 퇴계로 인근,게스트하우스,독립,A,1,,,,,,,,,,,,myeongdong_gh
,,,,,,,,,,,,,,,,,,
== 게스트하우스 (소규모 체인) ==,,,,,,,,,,,,,,,,,,
24게스트하우스 명동시티,,중구 명동,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,24gh_myeongdong
24게스트하우스 명동타운,,중구 회현역 1분,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,24gh_myeongdong
24게스트하우스 명동에비뉴,,중구 명동,게스트하우스,체인(24GH),A,1,,,,,,,,,,,,24gh_myeongdong
K게스트하우스 명동 1,,중구 명동역 2분,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,kgh_myeongdong_1
K게스트하우스 명동 2,,중구 명동,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,kgh_myeongdong_2
K게스트하우스 명동 3,,중구 명동,게스트하우스,체인(K-GH),A,1,,,,,,,,,,,,kgh_myeongdong_3
필스테이 명동 부티크,,중구 명동,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,stay_myeongdong
필스테이 명동 메트로,,중구 명동역 인근,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,stay_myeongdong_metro
필스테이 명동 스테이션,,중구 명동역 바로 앞,게스트하우스,체인(필스테이),A,1,,,,,,,,,,,,stay_myeongdong_stay
,,,,,,,,,,,,,,,,,,
== 호스텔 (독립) ==,,,,,,,,,,,,,,,,,,
57 명동 호스텔,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,57_myeongdong_hostel
유닛 M 호스텔,,중구 명동역 7분,호스텔,독립,A,1,,,,,,,,,,,,m_hostel
보로 한옥 호스텔 명동,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,hostel_myeongdong
스텝인 명동 2,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,myeongdong_2
명동 루프탑 호스텔,,중구 명동역 5분,호스텔,독립,A,1,,,,,,,,,,,,myeongdong_hostel
블루보트 호스텔 명동,,중구 명동,호스텔,독립,A,1,,,,,,,,,,,,hostel_myeongdong
,,,,,,,,,,,,,,,,,,
== 호스텔 (OYO 체인) ==,,,,,,,,,,,,,,,,,,
OYO 호스텔 명동 1,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,oyo_hostel_myeongdong_1
OYO 호스텔 명동 3,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,oyo_hostel_myeongdong_3
OYO 호스텔 명동 5,,중구 퇴계로18길 43,호스텔,체인(OYO),A,1,,,,,,,,,,,,oyo_hostel_myeongdong_5
명동 루프탑 OYO 호스텔,,중구 명동,호스텔,체인(OYO),A,1,,,,,,,,,,,,myeongdong_oyo_hostel
,,,,,,,,,,,,,,,,,,
== 레지던스·코리빙 ==,,,,,,,,,,,,,,,,,,
오리엔스 호텔 & 레지던스,,중구 명동 인근,레지던스,독립,B,1,,,,,,,,,,,,
솔라고 명동 호텔 앤 레지던스,,중구 명동,레지던스,독립,A,1,,,,,,,,,,,,myeongdong_hotel_residence
소라지 호텔 & 아파트먼트 명동,,중구 명동~충무로,레지던스,독립,A,1,,,,,,,,,,,,hotel_myeongdong
호텔 더 보타닉 세운 명동,,중구 을지로19길 23-1,레지던스,독립,B,1,,,,,,,,,,,,
홈즈스테이 명동,,중구 명동 중심,레지던스,체인(홈즈컴퍼니),A,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
== 모텔급 ==,,,,,,,,,,,,,,,,,,
영인 호텔,,중구 필동로8길 77,모텔,독립,B,2,,,,,,,,,,,,
호텔 베네,,중구 충무로5길 3,모텔,독립,B,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
== 소규모 체인 호텔 ==,,,,,,,,,,,,,,,,,,
나인트리 바이 파르나스 명동 1,,중구 명동 10길,호텔,체인(파르나스),A,2,,,,,,,,,,,,
나인트리 바이 파르나스 명동 2,,중구 충무로역 인근,호텔,체인(파르나스),B,2,,,,,,,,,,,,
호텔 스카이파크 명동 1,,중구 명동역 인근,호텔,체인(스카이파크),B,2,,,,,,,,,,,,
호텔 스카이파크 명동 2,,중구 명동역 인근,호텔,체인(스카이파크),B,2,,,,,,,,,,,,
호텔 스카이파크 명동 3,,중구 명동역 인근,호텔,체인(스카이파크),B,2,,,,,,,,,,,,
호텔 스카이파크 센트럴 명동,,중구 을지로입구,호텔,체인(스카이파크),B,2,,,,,,,,,,,,
이비스 스타일 앰배서더 서울 명동,,중구 명동,호텔,체인(앰배서더),A,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
== ⚠️ 대형 체인·5성급 (본사 승인 필요 — 후순위) ==,,,,,,,,,,,,,,,,,,
트래블로지 명동 을지로,,중구 을지로입구역 도보 5분,호텔,체인(윈덤),B,3,,,,,,,,,,,,
데이즈 호텔 바이 윈덤 명동,,중구 퇴계로,호텔,체인(윈덤),B,3,,,,,,,,,,,,
롯데시티호텔 명동,,중구 명동,호텔,체인(롯데),A,3,,,,,,,,,,,,
L7 명동 바이 롯데,,중구 명동 을지로 경계,호텔,체인(롯데),B,3,,,,,,,,,,,,
voco 서울 명동,,중구 남대문로5가,호텔,체인(IHG),A,3,,,,,,,,,,,,
코트야드 메리어트 서울 명동,,중구 남대문로5가,호텔,체인(Marriott),A,3,,,,,,,,,,,,
목시 서울 명동,,중구 명동 중심,호텔,체인(Marriott),A,3,,,,,,,,,,,,
알로프트 서울 명동,,중구 명동,호텔,체인(Marriott),A,3,,,,,,,,,,,,
포 포인츠 바이 쉐라톤 조선 명동,,중구 을지로3가,호텔,체인(Marriott),B,3,,,,,,,,,,,,
르메르디앙 서울 명동,,중구 명동,호텔,체인(Marriott),A,3,,,,,,,,,,,,
레스케이프 호텔,,중구 퇴계로67,호텔,체인(조선호텔),B,3,,,,,,,,,,,,
